pixel, signal
1, .96308867204073
2, .96168108776267
3, .95822454308094
4, .953520478601012
5, .958371454711802
6, .961746174617462
7, .973397296118622
8, .969827586206896
9, .973175021987687
10, .975959510754956
11, .967359050445104
12, .957392415850021
13, .96001701403658
14, .97914963205233
15, .976497346474602
16, .971036585365854
17, .952399232245681
18, .923913043478261
19, .914370811615786
20, .910801393728223
21, .899162722970513
22, .889781859931114
23, .894694533762058
24, .905957446808511
25, .929318276871602
26, .935914552736983
27, .935843793584379
28, .926340326340326
29, .910218041898247
30, .905542544886807
31, .907922168172342
32, .890981169474727
33, .876177658142665
34, .889261744966443
35, .916817906836056
36, .924734271760988
37, .928571428571428
38, .92706910680142
39, .912333242580996
40, .885983827493261
41, .86511240632806
42, .858138829948469
43, .872367994816974
44, .886271870794078
45, .885027606365703
46, .872655478775913
47, .848829431438127
48, .837714686295128
49, .832282913165266
50, .831613976705491
51, .836780866192631
52, .834802481227555
53, .813394018205462
54, .803554427165979
55, .800122624156959
56, .80258064516129
57, .799290093578574
58, .799025974025974
59, .793959731543624
60, .789798014378638
61, .796334012219959
62, .786901934170343
63, .763975155279503
64, .73216
65, .716432538386148
66, .717720685111989
67, .7333984375
68, .726668880770508
69, .713856427378965
70, .685396929108135
71, .681760204081633
72, .67479674796748
73, .666770865895592
74, .653553299492386
75, .640608785887236
76, .606745604592752
77, .577411603158256
78, .55814739688979
79, .544567776656576
80, .53449920508744
81, .525923525599482
82, .49721767594108
83, .478461032555081
84, .456204379562044
85, .431825795644891
86, .419505198996056
87, .400353356890459
88, .387791741472172
89, .383207750269107
90, .391013739324174
91, .399558498896247
92, .392293577981651
93, .385405207187385
94, .355902162353775
95, .351246926589392
96, .354322305229456
97, .37629246676514
98, .40061991476172
99, .422926447574335
100, .443509615384615
101, .462211614956245
102, .49124203821656
103, .522388059701492
104, .542042042042042
105, .571222502704652
106, .603418207185211
107, .651334269662921
108, .689364957918898
109, .715036378334681
110, .729959514170041
111, .750885478158206
112, .772482387070037
113, .795331388078366
114, .817128671907323
115, .852010265183918
116, .880439560439561
117, .89349871685201
118, .89643605870021
119, .878915202444614
120, .858819076457229
121, .849680571213829
122, .864730607565915
123, .897665369649805
124, .919517884914463
125, .916925465838509
126, .912587412587413
127, .917922283901665
128, .919935301253538
