l,L_2,e,E_2
749,49446,0,63441
751,10196,0,63334
752,70945,0,63479
754,31695,0,63623
755,92445,0,63534
757,53195,0,63562
759,13944,0,63805
760,74694,0,63851
762,35444,0,63610
763,93514,0,63240
765,56943,0,63316
767,17693,0,63505
768,78442,0,63703
770,39192,0,63830
771,99942,0,63866
773,60692,0,64047
775,21441,0,64272
776,82191,0,64299
778,42941,0,64309
780,3690,0,64337
781,64440,0,64365
783,25190,0,64545
784,85939,0,64582
786,46689,0,64879
788,7439,0,65131
789,54793,0,65338
791,28938,0,65563
792,89688,0,65707
794,50438,0,65968
796,11187,0,66354
797,71937,0,66498
799,32687,0,66750
800,66645,0,67262
802,603,0,67881
803,61353,0,68527
805,22102,0,68950
806,82852,0,69542
808,43602,0,70054
810,4351,0,70610
811,51705,0,71269
812,85663,0,71861
814,19622,0,72497
815,40184,0,73119
816,60746,0,73821
817,94704,0,74446
819,28662,0,75102
820,49225,0,75716
821,42995,0,76362
822,36766,0,77062
823,30536,0,77815
824,10911,0,78461
825,4682,0,79093
826,11848,0,79833
827,19015,0,80425
828,12786,0,81116
828,93160,0,81726
829,73535,0,82390
830,40514,0,82928
830,98563,0,83555
831,61077,0,84380
832,41451,0,85152
833,21826,0,85869
834,2201,0,86706
834,82576,0,87268
835,62951,0,87896
836,43326,0,88596
837,23701,0,89355
838,4075,0,89977
838,84450,0,90694
839,51429,0,91268
840,5013,0,91860
840,58596,0,92479
841,38971,0,93272
842,32741,0,94048
843,13116,0,94760
844,6887,0,95398
845,657,0,96021
845,81032,0,96775
846,74803,0,97483
847,68574,0,98031
848,62344,0,98708
849,96302,0,99484
851,57052,0,99951
853,17802,0,99638
854,78551,0,99021
855,99114,0,98448
856,79489,0,97749
857,46468,0,97167
858,13447,0,96501
858,93822,0,95581
859,60801,0,94936
860,27780,0,94226
860,94759,0,93405
861,48342,0,92760
861,97460,0,92052
862,55508,0,91282
863,9092,0,90502
863,62675,0,89709
864,16258,0,89105
864,69841,0,88298
865,23425,0,87492
865,77008,0,86799
866,30591,0,86041
866,61848,0,85315
867,10966,0,84562
867,64549,0,83724
868,18132,0,82977
868,67250,0,82125
869,25299,0,81283
869,78882,0,80549
870,59257,0,79590
871,12840,0,78891
871,61958,0,78058
872,20007,0,77386
872,86986,0,76482
873,53965,0,75801
874,7548,0,75156
874,61131,0,74538
875,28110,0,73890
876,21881,0,73154
877,15651,0,72505
877,96026,0,71896
878,89797,0,71300
879,83568,0,70606
880,77338,0,69890
881,71109,0,69245
882,78275,0,68600
884,25629,0,67974
885,86379,0,67580
887,47129,0,67196
889,7878,0,66803
890,68628,0,66320
892,29378,0,65935
893,90127,0,65694
895,50877,0,65489
897,11627,0,65203
898,72377,0,64971
900,33126,0,64819
901,93876,0,65000
903,54626,0,64857
905,15375,0,64491
906,76125,0,64303
908,36875,0,64268
909,97624,0,64251
911,58374,0,64136
913,19124,0,63993
914,79874,0,63734
916,48661,0,63834
918,1373,0,63745
919,62123,0,63764
921,22872,0,63837
922,83622,0,63757
924,44372,0,63489
926,5121,0,63418
927,65871,0,63509
929,26621,0,63393
930,87371,0,63018
932,48120,0,63064
934,8870,0,63217
935,69620,0,63173
