Pixel #,Chan 1
1, 2.75824175824176
2, 2.84004884004884
3, 2.67765567765568
4, 2.52380952380952
5, 2.55067155067155
6, 2.6019536019536
7, 2.71672771672772
8, 2.73382173382173
9, 2.68986568986569
10, 2.81318681318681
11, 2.78144078144078
12, 2.73504273504274
13, 2.74847374847375
14, 2.91208791208791
15, 3.13186813186813
16, 3.0976800976801
17, 3.01587301587302
18, 2.89255189255189
19, 2.97802197802198
20, 3.18315018315018
21, 3.00610500610501
22, 2.82783882783883
23, 2.70695970695971
24, 2.5970695970696
25, 2.7020757020757
26, 2.56410256410256
27, 2.45299145299145
28, 2.41636141636142
29, 2.58485958485959
30, 2.81929181929182
31, 3.18070818070818
32, 3.28205128205128
33, 3.17094017094017
34, 3.21978021978022
35, 3.68131868131868
36, 3.90842490842491
37, 3.89377289377289
38, 4.12087912087912
39, 4.08302808302808
40,4.
41, 3.79365079365079
42, 3.44688644688645
43, 3.27594627594628
44, 3.20879120879121
45, 3.31868131868132
46, 3.22466422466422
47, 3.08791208791209
48, 2.90842490842491
49, 2.9010989010989
50, 3.04273504273504
51, 3.15750915750916
52, 3.11355311355311
53, 3.05006105006105
54, 3.08302808302808
55, 3.17460317460317
56, 3.02686202686203
57, 3.00732600732601
58, 3.004884004884
59, 2.88278388278388
60, 2.81440781440781
61, 2.86324786324786
62, 2.82295482295482
63, 2.84615384615385
64, 2.78754578754579
65, 2.66666666666667
66, 2.65567765567766
67, 2.73748473748474
68, 2.67887667887668
69, 2.6019536019536
70, 2.55799755799756
71, 2.6043956043956
72, 2.63003663003663
73, 2.5958485958486
74, 2.50915750915751
75, 2.25030525030525
76, 2.05372405372405
77, 2.05982905982906
78, 2.00976800976801
79, 1.97191697191697
80, 2.04884004884005
81, 1.98046398046398
82, 1.85714285714286
83, 1.77899877899878
84, 1.67765567765568
85, 1.57264957264957
86, 1.42368742368742
87, 1.38583638583639
88, 1.31379731379731
89, 1.3015873015873
90, 1.28815628815629
91, 1.32478632478632
92, 1.2991452991453
93, 1.28083028083028
94, 1.21978021978022
95, 1.21245421245421
96, 1.21733821733822
97, 1.23565323565324
98, 1.25518925518926
99, 1.31379731379731
100, 1.34188034188034
101, 1.41025641025641
102, 1.4957264957265
103, 1.60683760683761
104, 1.75091575091575
105, 1.91330891330891
106, 2.1037851037851
107, 2.24420024420024
108, 2.18803418803419
109, 2.15018315018315
110, 2.18925518925519
111, 2.31623931623932
112, 2.26495726495726
113, 2.31501831501832
114, 2.3968253968254
115, 2.42124542124542
116, 2.42490842490842
117, 2.53601953601954
118, 2.59218559218559
119, 2.79242979242979
120, 2.74969474969475
121, 2.74847374847375
122, 2.74603174603175
123, 2.7973137973138
124, 2.86813186813187
125, 2.88034188034188
126, 2.85225885225885
127, 2.81807081807082
128, 2.76556776556777
